Dates,AMZN
2020-04-30,0.04269
2020-05-01,-0.07597
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.00078
2020-05-06,0.01444
2020-05-07,0.00695
2020-05-08,0.00507
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,-0.02161
2020-05-13,0.00465
2020-05-14,0.00884
2020-05-15,0.00876
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.00951
