labels,weights
Communication Services,0.1173086806091417
Consumer Discretionary,0.22620297121250552
Consumer Staples,0.10694270707216896
Energy,0.006512558401108773
Financials,0.11712572056626248
Health Care,0.07916112471578184
Industrials,0.04972296233353399
Information Technology,0.2581717547179
Materials,0.00658495750786306
Real Estate,0.02173493291470982
Utilities,0.010531629949024034
